ProductNO,ProductTitle,ProductCode,Availability,Price,ImageURL,ManualURL,SupportSoftwareURL,SoftDMCManualURL
52,"CFADPTCS Compact Flash - IDE adapter type  2 - Chant Sincere",CFADPTCS,44,US$20.00,http://store.mesanet.com/image/cache/catalog/Products/Disk-Cards/cfadptcscolo-500x500.png,,,
53,"5I21 PICTURE",5I21,25,US$275.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/5i21colo-500x500.png,http://www.mesanet.com/pdf/parallel/5i21man.pdf,http://www.mesanet.com/software/parallel/5i21.zip,
54,"4i20 picture",4I20,10,US$169.00,http://store.mesanet.com/image/cache/catalog/Products/Parallel_Cards/4i20colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i20man.pdf,http://www.mesanet.com/software/parallel/4i20.zip,
55,"5I25 picture",5I25,Out Of Stock,US$89.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/5i25colo-500x500.pnghttp://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/5i25lpcolo-500x500.png,http://www.mesanet.com/pdf/parallel/5i25man.pdf,http://www.mesanet.com/software/parallel/5i25.zip,
56,"4I39  FPGA based Anything I/O card with isolated RS-422 interface",4I39,Out Of Stock,US$299.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i39colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i39man.pdf,http://www.mesanet.com/software/parallel/4i39.zip,
58,"6i25 picture",6I25,69,US$109.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/6i25lpcolo-500x500.png,http://www.mesanet.com/pdf/parallel/6i25man.pdf,http://www.mesanet.com/software/parallel/5i25.zip,
59,"7I80DB Picture",7I80DB-16,Out Of Stock,US$149.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/7i80dbcolo-500x500.png,http://www.mesanet.com/pdf/parallel/7i80dbman.pdf,http://www.mesanet.com/software/parallel/7i80.zip,
60,"7I80DB-25 Ethernet Anything I/O card",7I80DB-25 ,Out Of Stock,US$169.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/7i80dbcolo-500x500.png,http://www.mesanet.com/pdf/parallel/7i80dbman.pdf,http://www.mesanet.com/software/parallel/7i80.zip,
61,"7I80HD-25  Ethernet Anything I/O card",7I80HD-25,Out Of Stock,US$169.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/7i80hdcolo-500x500.png,http://www.mesanet.com/pdf/parallel/7i80hdman.pdf,http://www.mesanet.com/software/parallel/7i80.zip,
62,"7I80HD-16  Ethernet Anything I/O card",7I80HD-16,Out Of Stock,US$149.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/7i80hdcolo-500x500.png,http://www.mesanet.com/pdf/parallel/7i80hdman.pdf,http://www.mesanet.com/software/parallel/7i80.zip,
63,"5I22-1 FPGA based PCI  Anything I/O card (OBSOLETE)",5I22-1,Out Of Stock,US$249.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/5i22colo-500x500.png,http://www.mesanet.com/pdf/parallel/5i22man.pdf,http://www.mesanet.com/software/parallel/5i22.zip,
64,"5I22-1.5 FPGA based PCI  Anything I/O card (OBSOLETE)",5I22-1.5,Out Of Stock,US$429.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/5i22colo-500x500.png,http://www.mesanet.com/pdf/parallel/5i22man.pdf,http://www.mesanet.com/software/parallel/5i22.zip,
65,"5I23 FPGA card",5I23,Out Of Stock,US$260.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/5i23colo-500x500.png,http://www.mesanet.com/pdf/parallel/5i23man.pdf,http://www.mesanet.com/software/parallel/5i23.zip,
70,"7I43-U-4  FPGA based USB/EPP Anything I/O card",7I43-U-4,4,US$89.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/7i43colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i43man.pdf,http://www.mesanet.com/software/parallel/7i43.zip,
73,"7I68  3X2X cabled PCIE motherboard",7I68,14,US$99.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/7i68colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i68man.pdf,,
74,"7I33TA Analog servo interface",7I33TA,Out Of Stock,US$79.00,http://store.mesanet.com/image/cache/catalog/Products/Motion/7i33tacolo-500x500.png,http://www.mesanet.com/pdf/motion/7i33man.pdf,,
76,"6I68  3X2X 1X PCIE slot motherboard",6I68,12,US$99.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/6i68colo-500x500.png,http://www.mesanet.com/pdf/parallel/6i68man.pdf,,
77,"3X20 picture",3X20-2,Out Of Stock,US$550.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/3x20colo-500x500.png,http://www.mesanet.com/pdf/parallel/3x20man.pdf,http://www.mesanet.com/software/parallel/3x20.zip,
78,"3X20 picture",3X20-2-MB,Out Of Stock,US$550.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/3x20colo-500x500.png,http://www.mesanet.com/pdf/parallel/3x20man.pdf,http://www.mesanet.com/software/parallel/3x20.zip,
79,"4i69 picture",4I69-16,Out Of Stock,US$260.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/4i69colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i69man.pdf,http://www.mesanet.com/software/parallel/4i69.zip,http://www.mesanet.com/pdf/parallel/softdmc.pdf
80,"4I69-16-AIN  FPGA based PC104-PLUS Anything I/O card",4I69-16-AIN,Out Of Stock,US$295.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/4i69colo-500x500.pnghttp://store.mesanet.com/image/cache/catalog/Products/CPU-Cards/4c81colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i69man.pdf,http://www.mesanet.com/software/parallel/4i69.zip,http://www.mesanet.com/pdf/parallel/softdmc.pdf
81,"4I69-25  FPGA based PC104-PLUS Anything I/O card",4I69-25,Out Of Stock,US$275.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/4i69colo-500x500.pnghttp://store.mesanet.com/image/cache/catalog/Products/CPU-Cards/4c81colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i69man.pdf,http://www.mesanet.com/software/parallel/4i69.zip,http://www.mesanet.com/pdf/parallel/softdmc.pdf
82,"4I69 pictue",4I69-25-AIN ,Out Of Stock,US$310.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/4i69colo-500x500.pnghttp://store.mesanet.com/image/cache/catalog/Products/CPU-Cards/4c81colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i69man.pdf,http://www.mesanet.com/software/parallel/4i69.zip,http://www.mesanet.com/pdf/parallel/softdmc.pdf
85,"4I38-1  FPGA based Anything I/O card",4I38-1,Out Of Stock,US$275.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/4i38colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i38man.pdf,http://www.mesanet.com/software/parallel/4i38.zip,
86,"4I38-1.5  FPGA based Anything I/O card",4I38-1.5,Out Of Stock,US$326.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/4i38colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i38man.pdf,http://www.mesanet.com/software/parallel/4i38.zip,
87,"4I34-1  FPGA based Anything I/O card",4I34-1,Out Of Stock,US$204.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/4i34colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i34man.pdf,http://www.mesanet.com/software/parallel/4i34.zip,
88,"4I34-2  FPGA based Anything I/O card",4I34-2,Out Of Stock,US$227.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/4i34colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i34man.pdf,http://www.mesanet.com/software/parallel/4i34.zip,
89,"7I60 picture",7I60,Out Of Stock,US$258.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/7i60-500x500.png,http://www.mesanet.com/pdf/parallel/7i60man.pdf,http://www.mesanet.com/software/parallel/7i60.zip,http://www.mesanet.com/pdf/parallel/softdmc.pdf
91,"7I34 picture",7I34-I,Out Of Stock,US$71.00,http://store.mesanet.com/image/cache/catalog/Products/Motion/7i34colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i34man.pdf,,
92,"7I33  Quad Analog servo interface",7I33,Out Of Stock,US$69.00,http://store.mesanet.com/image/cache/catalog/Products/Motion/7i33colo-500x500.png,http://www.mesanet.com/pdf/motion/7i33man.pdf,,
93,"7I37   8 output, 16 input isolated I/O card",7I37,Out Of Stock,US$69.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i37colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i37man.pdf,,
94,"7I37-COM Isolated I/O card",7I37-COM,Out Of Stock,US$79.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i37comcolo-500x500.png,http://www.mesanet.com/pdf/parallel/7i37comman.pdf,,
95,"7I42TA Breakout/FPGA protection card",7I42TA,15,US$45.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i42tacolo-500x500.png,http://www.mesanet.com/pdf/parallel/7i42man.pdf,,
96,"7I44 RS-422 interface",7I44,41,US$69.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i44colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i44man.pdf,,
97,"7I46 six Channel SPI breakout card",7I46,8,US$35.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i46colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i46man.pdf,,
98,"7I47 picture",7I47,Out Of Stock,US$69.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i47colo-500x500.png,http://www.mesanet.com/pdf/motion/7i47man.pdf,,
99,"7I47S 8/12 Channel motion oriented RS-422 interface with analog out",7I47S,Out Of Stock,US$79.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i47scolo-500x500.png,http://www.mesanet.com/pdf/motion/7i47sman.pdf,,
100,"7I48 picture",7I48,Out Of Stock,US$99.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i48colo-500x500.png,http://www.mesanet.com/pdf/motion/7i48man.pdf,,
101,"7I49 Picture",7I49,8,US$184.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i49colo-500x500.png,http://www.mesanet.com/pdf/motion/7i49man.pdf,,
103,"3X20 picture",3X20-1,4,US$377.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/3x20colo-500x500.png,http://www.mesanet.com/pdf/parallel/3x20man.pdf,http://www.mesanet.com/software/parallel/3x20.zip,
105,"7i52 picture",7I52,13,US$69.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i52colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i52man.pdf,,
106,"7I52S 6 Channel encoder 12 channel + differential step/dir/PWM card",7I52S,17,US$69.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i52colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i52sman.pdf,,
108,"7I53 12 Channel encoder 2 channel Serial RS-422 interface",7I53,21,US$99.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i53colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i53man.pdf,,
109,"7I65  Octal Analog servo interface",7I65,Out Of Stock,US$279.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i65colo-500x500.png,http://www.mesanet.com/pdf/motion/7i65man.pdf,,
110,"7IA0 picture",7IA0,49,US$249.00,http://store.mesanet.com/image/cache/catalog/7ia0colo-500x500.png,http://www.mesanet.com/pdf/parallel/7ia0man.pdf,,
111,"7I70 picture",7I70,14,US$79.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i70colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i70man.pdf,,
112,"7I66-8 Isolated remote digital input and power driver card",7I66-8,11,US$79.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i66colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i66man.pdf,,
113,"7I69 remote digital I/O card",7I69,Out Of Stock,US$69.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i69colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i69man.pdf,,
114,"7I71 Isolated remote power driver card sourcing outputs",7I71,10,US$119.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i71colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i71man.pdf,,
115,"7I72 Isolated remote power driver card sinking outputs",7I72,16,US$119.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i72colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i72man.pdf,,
116,"7I73 picture",7I73,62,US$49.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i73colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i73man.pdf,,
117,"7I74 Eight Channel RS-422/485 interface/ RJ45 Breakout",7I74,45,US$69.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i74colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i74man.pdf,,
118,"7I75 Picture",7I75,59,US$45.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i75colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i75man.pdf,,
119,"7I76 Picture",7I76,Out Of Stock,US$119.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i76colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i76man.pdf,,
120,"7I77 card",7I77,20,US$229.00,http://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/7i77colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i77man.pdf,,
121,"7i78 picture",7I78,4,US$69.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i78colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i78man.pdf,,
122,"7i83 picture",7I83,23,US$119.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i83colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i83man.pdf,,
123,"7i84 picture",7I84,34,US$79.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i84colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i84man.pdf,,
124,"7I85 Picture",7I85,46,US$69.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i85colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i85man.pdf,,
125,"7I85S picture",7I85S,69,US$69.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i85colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i85sman.pdf,,
126,"7I87 picture",7I87,8,US$99.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i87colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i87man.pdf,,
127,"THCAD picture",THCAD-10,Out Of Stock,US$69.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/thcadcolo-500x500.png,http://www.mesanet.com/pdf/analog/thcadman.pdf,,
128,"THCAD picture",THCAD-300,Out Of Stock,US$69.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/thcadcolo-500x500.png,http://www.mesanet.com/pdf/analog/thcadman.pdf,,
133,"4I30 picture",4I30,Out Of Stock,US$199.00,http://store.mesanet.com/image/cache/catalog/Products/Motion/4i30colo-500x500.png,,,
135,"4i36 picture",4I36-1,20,US$229.00,http://store.mesanet.com/image/cache/catalog/Products/Motion/4i36col-500x500.png,,,
136,"4I74 eight channel PCI/104 quadrature counter card",4I74,15,US$199.00,http://store.mesanet.com/image/cache/catalog/Products/Motion/4i74colo-500x500.png,,,
138,"7I66-24 Isolated remote  power driver card",7I66-24,30,US$119.00,http://store.mesanet.com/image/cache/catalog/Products/AIO_Daughter_Cards/7i66colo-500x500.png,http://www.mesanet.com/pdf/parallel/7i66man.pdf,,
140,"7I27 400 Watt H-bridges for 4I27 and FPGA cards",7I27,4,US$275.00,http://store.mesanet.com/image/cache/catalog/Products/Motion/7i27colo-500x500.png,,,
141,"7I29 picture",7I29,4,US$299.00,http://store.mesanet.com/image/cache/catalog/Products/Motion/7i29colo-500x500.png,,,
142,"7I30 picture",7I30-4,24,US$89.00,http://store.mesanet.com/image/cache/catalog/Products/Motion/7i30colo-500x500.png,,,
143,"7I32  Dual  1/2 to 3A stepper driver",7I32,15,US$89.00,http://store.mesanet.com/image/cache/catalog/Products/Motion/7i32colo-500x500.png,,,
144,"7I39-LV  Dual 250W 3 Phase BLDC driver",7I39-LV,Out Of Stock,US$149.00,,,,
145,"7I39-HV  Dual 250W 3 Phase BLDC driver",7I39-HV,Out Of Stock,US$149.00,,,,
146,"7I40 picture",7I40-LV,Out Of Stock,US$149.00,http://store.mesanet.com/image/cache/catalog/Products/Motion/7i40colo-500x500.png,,,
147,"7I40-HV  Dual 400W driver",7I40-HV,2,US$149.00,http://store.mesanet.com/image/cache/catalog/Products/Motion/7i40colo-500x500.png,,,
149,"8I20 PICTURE",8I20,Out Of Stock,US$239.00,http://store.mesanet.com/image/cache/catalog/Products/Motion/8i20colo-500x500.png,,,
151,"4I22-10 timer/counter + parallel I/O card",4I22-10,17,US$201.00,http://store.mesanet.com/image/cache/catalog/Products/Parallel_Cards/4i22colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i22man.pdf,http://www.mesanet.com/software/parallel/4i22.zip,
154,"4I24  72/96 bit parallel I/O cards",4I24,13,US$166.00,http://store.mesanet.com/image/cache/catalog/Products/Parallel_Cards/4i24colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i24man.pdf,http://www.mesanet.com/software/parallel/4i24.zip,
155,"4I24H  72/96 bit parallel I/O cards",4I24H,19,US$193.00,http://store.mesanet.com/image/cache/catalog/Products/Parallel_Cards/4i24colo-500x500.png,,http://www.mesanet.com/software/parallel/4i24.zip,
158,"4I24M  72/96 bit parallel I/O cards",4I24M,Out Of Stock,US$166.00,http://store.mesanet.com/image/cache/catalog/Products/Parallel_Cards/4i24colo-500x500.png,http://www.mesanet.com/pdf/parallel/4i24mman.pdf,http://www.mesanet.com/software/parallel/4i24.zip,
159,"4I70 PC/104-PCI Remote bridge",4I70,6,US$139.00,,http://www.mesanet.com/pdf/parallel/4i70man.pdf,,
160,"4I73 PC/104-PCI Remote bridge",4I73,Out Of Stock,US$139.00,http://store.mesanet.com/image/cache/catalog/Products/Parallel_Cards/4i73colo-500x500.png,,,
161,"4I73-I-ROHS-NFT PC/104-PCI Remote bridge Industrial Temperture test Range",4I73-I-ROHS-NFT,Out Of Stock,US$167.00,http://store.mesanet.com/image/cache/catalog/Products/Parallel_Cards/4i73colo-500x500.png,,,
162,"5I70 PCI-PCI Express bridge",5I70,22,US$113.00,http://store.mesanet.com/image/cache/catalog/Products/Parallel_Cards/5i70colo-500x500.png,,,
163,"SoftDMC Digital Motion Control firmware for FPGA based I/O cards (Exclusively for existing clients)",SoftDMC Firmware,98754,US$100.00,,,,
164,"5I71 PCI-PCI Express bridge",5I71,4,US$113.00,http://store.mesanet.com/image/cache/catalog/Products/Parallel_Cards/5i71colo-500x500.png,,,
166,"4P20 PC/104-PLUS  Power Over Ethernet card ",4P20,13,US$119.00,http://store.mesanet.com/image/cache/catalog/Products/Parallel_Cards/4p20colo-500x500.pnghttp://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/5i25colo-500x500.pnghttp://store.mesanet.com/image/cache/catalog/Products/AIO-FPGA-Cards/5i25lpcolo-500x500.png,,,
167,"ISIO-T-RM Low cost isolated I/O driven by printer port",ISIO-T-RM,20,US$140.00,http://store.mesanet.com/image/cache/catalog/Products/Parallel_Cards/isiocolo-500x500.png,,,
169,"4I23A quad serial card",4I23A ,33,US$134.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i23colo-500x500.png,http://www.mesanet.com/pdf/serial/4i23man.pdf,http://www.mesanet.com/software/serial/4i23.zip,
170,"4I23B quad serial card",4I23B,19,US$134.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i23colo-500x500.png,http://www.mesanet.com/pdf/serial/4i23man.pdf,http://www.mesanet.com/software/serial/4i23.zip,
171,"4I23C quad serial card",4I23C,2,US$134.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i23colo-500x500.png,http://www.mesanet.com/pdf/serial/4i23man.pdf,http://www.mesanet.com/software/serial/4i23.zip,
172,"4I23D quad serial card - Not lead free",4I23D,Out Of Stock,US$134.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i23colo-500x500.png,http://www.mesanet.com/pdf/serial/4i23man.pdf,http://www.mesanet.com/software/serial/4i23.zip,
177,"4I32A quad serial card",4I32A (NON-ROHS),Out Of Stock,US$201.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i32colo-500x500.png,http://www.mesanet.com/pdf/serial/4i32man.pdf,,
178,"4I32B quad serial card",4I32B (NON-ROHS),Out Of Stock,US$201.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i32colo-500x500.png,http://www.mesanet.com/pdf/serial/4i32man.pdf,,
179,"4I32C quad serial card",4I32C,4,US$201.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i32colo-500x500.png,http://www.mesanet.com/pdf/serial/4i32man.pdf,,
181,"4I61 PC/104-PLUS 100BaseT Ethernet card",4I61,22,US$116.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i61colo-500x500.png,http://www.mesanet.com/pdf/serial/4i61man.pdf,http://www.mesanet.com/software/serial/4i61.zip,
182,"4I63A PC/104-PLUS quad serial + parallel",4I63A,Out Of Stock,US$174.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i63colo-500x500.png,http://www.mesanet.com/pdf/serial/4i63man.pdf,http://www.mesanet.com/software/serial/4i63.zip,
183,"4I63C PC/104-PLUS quad serial + parallel",4I63C,Out Of Stock,US$174.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i63colo-500x500.png,http://www.mesanet.com/pdf/serial/4i63man.pdf,http://www.mesanet.com/software/serial/4i63.zip,
184,"4I63B PC/104-PLUS quad serial + parallel",4I63B,1,US$174.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i63colo-500x500.png,http://www.mesanet.com/pdf/serial/4i63man.pdf,http://www.mesanet.com/software/serial/4i63.zip,
185,"4I66 picture",4I66,15,US$199.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i66colo-500x500.png,http://www.mesanet.com/pdf/serial/4i66man.pdf,http://www.mesanet.com/software/serial/4i61.zip,
186,"4I71 PC104-PLUS MAC-SWITCH",4I71,5,US$219.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i71colo-500x500.png,http://www.mesanet.com/pdf/serial/4i71man.pdf,,
187,"4I71-NFT PC104-PLUS MAC-SWITCH",4I71-NFT,9,US$212.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i71colo-500x500.png,http://www.mesanet.com/pdf/serial/4i71man.pdf,,
188,"4I71S PC104-PLUS MAC-SWITCH",4I71S,1,US$212.00,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i71colo-500x500.png,http://www.mesanet.com/pdf/serial/4i71man.pdf,,
189,"4I71S-NFT PC104-PLUS MAC-SWITCH",4I71S-NFT,Out Of Stock,US$247.20,http://store.mesanet.com/image/cache/catalog/Products/Serial-Cards/4i71colo-500x500.png,http://www.mesanet.com/pdf/serial/4i71man.pdf,,
190,"4A23 20 bit  integrating A-D",4A23,5,US$257.00,http://store.mesanet.com/image/cache/catalog/Products/Analog/4a23colo-500x500.png,,,
191,"4A24-5 high speed 16 bit A-D",4A24-5,21,US$314.00,http://store.mesanet.com/image/cache/catalog/Products/Analog/4a24colo-500x500.png,,,
192,"485x1  One channel  RS-485/RS-422 adapter",485x1,12,US$10.00,http://store.mesanet.com/image/cache/catalog/Products/Adapters_Cables/485x1colo-500x500.png,,,
